CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"St. Cloud, MN",41060,23/02/2022,33.0,Good,PM2.5,27-145-3052,1
"Brainerd, MN",14660,22/01/2022,,Good,PM2.5,27-021-3410,2
"Watertown-Fort Drum, NY",48060,26/08/2022,34.0,Good,,36-045-0002,1
"Carson City, NV",16180,16/01/2022,36.0,Good,PM2.5,32-510-0020,1
"Springfield, IL",44100,30/08/2022,33.0,Good,Ozone,17-167-0014,2
"Jefferson City, MO",27620,8/05/2022,41.0,Good,Ozone,29-027-0002,1
"Hailey, ID",25200,8/04/2022,22.0,Good,PM2.5,16-013-0004,1
"Omaha-Council Bluffs, NE-IA",36540,5/08/2022,50.0,Good,Ozone,31-055-0019,5
"Pueblo, CO",39380,10/05/2022,39.0,Good,PM10,08-101-0015,1
"Albany-Schenectady-Troy, NY",10580,20/03/2022,30.0,Good,Ozone,36-001-0012,3
"Odessa, TX",36220,11/03/2022,26.0,Good,PM2.5,48-135-1014,1
"Vermillion, SD",46820,13/05/2022,44.0,Good,Ozone,46-027-0001,1
"Columbus, GA-AL",17980,2/02/2022,54.0,Moderate,PM2.5,01-113-0003,2
"Kennewick-Richland, WA",28420,16/02/2022,10.0,Good,PM2.5,53-005-0002,1
"Tampa-St. Petersburg-Clearwater, FL",45300,21/06/2022,,Moderate,Ozone,12-057-1065,14
"Eureka-Arcata-Fortuna, CA",21700,1/06/2022,21.0,Good,Ozone,06-023-1004,1
"St. Joseph, MO-KS",41140,6/03/2022,35.0,Good,Ozone,29-003-0001,2
"Bowling Green, KY",14540,29/05/2022,44.0,Good,Ozone,21-227-0009,2
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,9/02/2022,54.0,Moderate,PM2.5,24-031-3001,14
"Peoria, IL",37900,20/02/2022,28.0,Good,PM2.5,17-143-0037,1
"Jamestown-Dunkirk-Fredonia, NY",27460,21/09/2022,40.0,Good,Ozone,36-013-0006,1
"Watertown, SD",47980,25/06/2022,44.0,Good,Ozone,46-029-0002,1
"Coeur d'Alene, ID",17660,26/06/2022,11.0,Good,PM2.5,16-055-0015,1
"North Port-Sarasota-Bradenton, FL",35840,10/01/2022,33.0,Good,Ozone,12-115-2002,7
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,20/02/2022,43.0,Good,Ozone,45-051-0008,1
"Arkadelphia, AR",11660,10/03/2022,39.0,Good,Ozone,05-019-9991,1
"Kahului-Wailuku-Lahaina, HI",27980,10/04/2022,40.0,Good,PM2.5,15-009-0025,1
"Harrisburg-Carlisle, PA",25420,22/02/2022,60.0,Moderate,PM2.5,42-043-0401,3
"Des Moines-West Des Moines, IA",19780,22/03/2022,34.0,Good,Ozone,19-153-1579,2
"Arkadelphia, AR",11660,30/08/2022,25.0,Good,Ozone,05-019-9991,1
"Salem, OR",41420,22/05/2022,38.0,Good,Ozone,41-047-0004,4
"Blacksburg-Christiansburg-Radford, VA",13980,22/08/2022,37.0,Good,Ozone,51-071-9992,1
"Tyler, TX",46340,15/03/2022,42.0,Good,Ozone,48-423-0007,1
"Gulfport-Biloxi-Pascagoula, MS",25060,30/08/2022,37.0,Good,Ozone,28-047-0008,3
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,29/07/2022,32.0,Good,Ozone,45-051-0008,1
"Indiana, PA",26860,1/06/2022,53.0,Moderate,,42-063-0004,1
"Colorado Springs, CO",17820,23/07/2022,58.0,Moderate,Ozone,08-041-0016,4
"Morgantown, WV",34060,9/03/2022,,Good,Ozone,54-061-0003,1
"Columbia, SC",17900,13/05/2022,30.0,Good,Ozone,45-079-1001,4
"Lebanon, PA",30140,12/06/2022,51.0,Moderate,PM2.5,42-075-0101,1
"Boise City, ID",14260,18/02/2022,56.0,Moderate,PM2.5,16-027-0002,6
"Cleveland, MS",17380,4/09/2022,31.0,Good,Ozone,28-011-0002,1
"Beaumont-Port Arthur, TX",13140,15/03/2022,43.0,Good,Ozone,48-245-0022,7
"Walla Walla, WA",47460,5/05/2022,23.0,Good,Ozone,53-013-9991,4
"Parkersburg-Vienna, WV",37620,7/02/2022,50.0,Good,PM2.5,54-107-1002,1
"Mount Vernon-Anacortes, WA",34580,16/01/2022,40.0,Good,PM2.5,53-057-0015,2
"Richmond, VA",40060,3/01/2022,29.0,Good,Ozone,51-087-0014,3
"Stockton-Lodi, CA",44700,14/06/2022,44.0,Good,,06-077-1003,1
"Billings, MT",13740,6/05/2022,9.0,Good,,30-111-0087,1
"Athens-Clarke County, GA",12020,24/01/2022,48.0,Good,PM2.5,13-059-0002,1
"Missoula, MT",33540,3/08/2022,43.0,Good,Ozone,30-063-0024,3
"St. George, UT",41100,21/08/2022,44.0,Good,Ozone,49-053-0007,1
"Eagle Pass, TX",20580,6/04/2022,32.0,Good,PM2.5,48-323-0004,1
"Ardmore, OK",11620,2/07/2022,49.0,Good,Ozone,40-085-0300,2
"Utica-Rome, NY",46540,2/07/2022,40.0,Good,,36-065-2001,1
"Tyler, TX",46340,23/05/2022,46.0,Good,Ozone,48-423-0007,1
"Davenport-Moline-Rock Island, IA-IL",19340,4/03/2022,48.0,Good,PM2.5,19-163-0015,4
"Rockford, IL",40420,1/02/2022,64.0,Moderate,,17-201-0118,1
"Ithaca, NY",27060,12/04/2022,46.0,Good,Ozone,36-109-9991,1
"Americus, GA",11140,12/08/2022,22.0,Good,Ozone,13-261-1001,1
"Reno, NV",39900,30/01/2022,56.0,Moderate,PM2.5,32-031-1005,7
"Carson City, NV",16180,26/01/2022,32.0,Good,Ozone,32-510-0020,1
"Johnstown, PA",27780,4/04/2022,40.0,Good,Ozone,42-021-0011,1
"Durango, CO",20420,25/01/2022,43.0,Good,Ozone,08-067-1004,3
"Burlington-South Burlington, VT",15540,16/02/2022,53.0,Moderate,PM2.5,50-007-0014,3
"Steamboat Springs, CO",44460,13/06/2022,36.0,Good,PM10,08-107-0003,1
"Medford, OR",32780,17/06/2022,29.0,Good,Ozone,41-029-0201,4
"Kingsport-Bristol-Bristol, TN-VA",28700,28/02/2022,28.0,Good,PM2.5,51-520-0006,2
"Jefferson City, MO",27620,7/03/2022,34.0,Good,Ozone,29-027-0002,1
"Albany, GA",10500,25/06/2022,43.0,Good,PM2.5,13-095-0007,1
"Wichita, KS",48620,28/06/2022,54.0,Moderate,Ozone,20-191-0002,3
"Weirton-Steubenville, WV-OH",48260,22/01/2022,58.0,Moderate,PM2.5,39-081-0017,3
"Madison, WI",31540,10/08/2022,38.0,Good,Ozone,55-025-0041,3
"McAlester, OK",32540,9/03/2022,44.0,Good,PM2.5,40-121-0415,1
"Clarksburg, WV",17220,16/02/2022,28.0,Good,PM2.5,54-033-0003,1
"San Jose-Sunnyvale-Santa Clara, CA",41940,13/07/2022,46.0,Good,Ozone,06-069-0003,6
"Baltimore-Columbia-Towson, MD",12580,24/08/2022,45.0,Good,Ozone,24-510-5253,5
"Gulfport-Biloxi-Pascagoula, MS",25060,28/05/2022,51.0,Moderate,,28-045-0003,3
"Bishop, CA",13860,20/02/2022,54.0,Moderate,PM2.5,06-027-1023,15
"Jacksonville, FL",27260,30/03/2022,71.0,Moderate,Ozone,12-003-0002,8
"Beaver Dam, WI",13180,28/04/2022,36.0,Good,,55-027-0001,1
"Lake Havasu City-Kingman, AZ",29420,13/06/2022,25.0,Good,PM10,04-015-1003,1
"Gadsden, AL",23460,16/01/2022,18.0,Good,PM2.5,01-055-0010,1
"Ellensburg, WA",21260,7/06/2022,9.0,Good,PM2.5,53-037-0002,1
"Gulfport-Biloxi-Pascagoula, MS",25060,22/07/2022,,Good,Ozone,28-047-0008,3
"Decatur, IL",19500,23/08/2022,38.0,Good,PM2.5,17-115-0013,1
"Lafayette-West Lafayette, IN",29200,13/08/2022,36.0,Good,Ozone,18-015-0002,1
"York-Hanover, PA",49620,3/09/2022,2.0,Good,NO2,42-133-0008,1
"Moses Lake, WA",34180,16/06/2022,18.0,Good,PM2.5,53-025-1002,2
"Platteville, WI",38420,15/07/2022,15.0,Good,PM2.5,55-043-0009,1
"Muscatine, IA",34700,6/01/2022,21.0,Good,PM2.5,19-139-0019,2
"Riverton, WY",40180,1/07/2022,19.0,Good,PM2.5,56-013-1003,1
"Norwich-New London, CT",35980,10/03/2022,50.0,Good,PM2.5,09-011-0124,1
"Cadillac, MI",15620,24/07/2022,40.0,Good,Ozone,26-165-9991,1
"Allentown-Bethlehem-Easton, PA-NJ",10900,14/09/2022,31.0,Good,,34-041-0007,3
"Santa Rosa, CA",42220,11/04/2022,40.0,Good,Ozone,06-097-0004,4
"Valdosta, GA",46660,5/05/2022,,Good,PM2.5,13-185-0003,1
"Atlantic City-Hammonton, NJ",12100,21/03/2022,44.0,Good,Ozone,34-001-0006,1
"Columbus, GA-AL",17980,29/01/2022,34.0,Good,PM2.5,13-215-0008,3
"Riverton, WY",40180,21/02/2022,39.0,Good,Ozone,56-013-0099,4
"Idaho Falls, ID",26820,1/05/2022,38.0,Good,Ozone,16-023-0101,2
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,16/08/2022,54.0,Moderate,PM2.5,47-037-0023,4
"Anchorage, AK",11260,16/08/2022,10.0,Good,PM10,02-020-0045,4
"Albany, GA",10500,14/02/2022,60.0,Moderate,PM2.5,13-095-0007,1
"Jamestown-Dunkirk-Fredonia, NY",27460,13/05/2022,42.0,Good,Ozone,36-013-0006,1
"Colorado Springs, CO",17820,2/03/2022,42.0,Good,Ozone,08-041-0013,4
"Brainerd, MN",14660,22/04/2022,34.0,Good,Ozone,27-035-3204,1
"Monroe, MI",33780,29/05/2022,16.0,Good,PM10,26-115-0951,2
"Fallon, NV",21980,5/05/2022,46.0,Good,Ozone,32-001-0002,1
"Bloomington, IL",14010,26/05/2022,38.0,Good,Ozone,17-113-2003,1
"Ellensburg, WA",21260,27/04/2022,6.0,Good,PM2.5,53-037-0002,1
"Tampa-St. Petersburg-Clearwater, FL",45300,23/05/2022,40.0,Good,PM2.5,12-057-1065,15
"Michigan City-La Porte, IN",33140,1/09/2022,49.0,Good,Ozone,18-091-0005,2
"Ashtabula, OH",11780,22/04/2022,36.0,Good,Ozone,39-007-1001,1
"Visalia-Porterville, CA",47300,6/05/2022,51.0,Moderate,Ozone,06-107-0006,2
"Madison, WI",31540,13/05/2022,80.0,Moderate,Ozone,55-021-0015,3
"Savannah, GA",42340,2/07/2022,33.0,Good,Ozone,13-051-0021,2
"Ithaca, NY",27060,13/06/2022,38.0,Good,Ozone,36-109-9991,1
"Bay City, MI",13020,28/01/2022,10.0,Good,PM2.5,26-017-0014,1
"Akron, OH",10420,23/03/2022,37.0,Good,Ozone,39-133-1001,3
"Fairbanks, AK",21820,12/03/2022,36.0,Good,,02-090-0034,3
"Ponca City, OK",38620,25/04/2022,23.0,Good,PM2.5,40-071-0604,1
"Cheyenne, WY",16940,25/04/2022,45.0,Good,Ozone,56-021-0100,1
"Huntsville, AL",26620,5/02/2022,,Good,PM2.5,01-089-0014,1
"Portland-Vancouver-Hillsboro, OR-WA",38900,6/07/2022,15.0,Good,PM2.5,53-011-0022,2
"Redding, CA",39820,25/02/2022,45.0,Good,Ozone,06-089-3003,1
"Dickinson, ND",19860,14/04/2022,38.0,Good,Ozone,38-007-0002,1
"Pocatello, ID",38540,7/10/2022,0.0,Good,PM10,16-005-0020,1
"Deming, NM",19700,1/06/2022,51.0,Moderate,PM10,35-029-0003,1
"Asheville, NC",11700,21/03/2022,49.0,Good,Ozone,37-021-0030,4
"Barnstable Town, MA",12700,9/01/2022,37.0,Good,Ozone,25-001-0002,1
"Danville, VA",19260,5/01/2022,4.0,Good,NO2,51-143-0005,1
"Hilo, HI",25900,10/03/2022,37.0,Good,PM2.5,15-001-2020,7
"Spokane-Spokane Valley, WA",44060,10/05/2022,40.0,Good,Ozone,53-063-0046,7
"St. Joseph, MO-KS",41140,20/01/2022,10.0,Good,PM10,29-021-0005,1
"Steamboat Springs, CO",44460,14/04/2022,14.0,Good,PM10,08-107-0003,1
"Eau Claire, WI",20740,6/02/2022,54.0,Moderate,PM2.5,55-035-0014,1
"Monroe, LA",33740,29/07/2022,29.0,Good,Ozone,22-073-0004,1
"Gulfport-Biloxi-Pascagoula, MS",25060,16/03/2022,39.0,Good,Ozone,28-059-0006,3
"Chico, CA",17020,14/03/2022,51.0,Moderate,Ozone,06-007-0008,4
"Madison, WI",31540,21/08/2022,41.0,Good,Ozone,55-025-0041,3
"Sevierville, TN",42940,21/01/2022,29.0,Good,Ozone,47-155-0101,1
"Peoria, IL",37900,27/03/2022,37.0,Good,Ozone,17-143-1001,2
"Price, UT",39220,9/04/2022,44.0,Good,Ozone,49-007-1003,1
"Joplin, MO",27900,24/04/2022,35.0,Good,Ozone,29-097-0004,2
"Helena, MT",25740,27/03/2022,41.0,Good,Ozone,30-049-0004,2
"Syracuse, NY",45060,12/04/2022,44.0,Good,Ozone,36-075-0003,2
"Sevierville, TN",42940,4/05/2022,58.0,Moderate,Ozone,47-155-0102,2
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,23/04/2022,45.0,Good,PM2.5,12-011-0035,18
"Cleveland-Elyria, OH",17460,23/05/2022,36.0,Good,Ozone,39-085-0003,17
"Niles-Benton Harbor, MI",35660,24/05/2022,47.0,Good,,26-021-0014,1
"Victoria, TX",47020,5/05/2022,16.0,Good,Ozone,48-469-0003,1
"Claremont-Lebanon, NH-VT",17200,23/06/2022,40.0,Good,Ozone,33-009-0010,1
"Palatka, FL",37260,29/03/2022,19.0,Good,PM10,12-107-1008,1
"Winchester, VA-WV",49020,12/02/2022,25.0,Good,PM2.5,51-069-0010,1
"Bend-Redmond, OR",13460,3/01/2022,10.0,Good,PM2.5,41-017-0120,2
"Othello, WA",36830,19/07/2022,13.0,Good,PM2.5,53-001-0003,1
"Albany, OR",10540,21/02/2022,18.0,Good,PM2.5,41-043-2002,3
"Rock Springs, WY",40540,23/05/2022,47.0,Good,Ozone,56-037-0300,21
"Bangor, ME",12620,3/04/2022,44.0,Good,Ozone,23-019-4008,2
"Los Angeles-Long Beach-Anaheim, CA",31080,11/04/2022,58.0,Moderate,PM2.5,06-037-4010,21
"Fayetteville-Springdale-Rogers, AR-MO",22220,19/06/2022,39.0,Good,Ozone,05-143-0005,2
"Brownsville-Harlingen, TX",15180,23/01/2022,32.0,Good,Ozone,48-061-1023,2
"Nogales, AZ",35700,18/09/2022,34.0,Good,PM10,04-023-0004,1
"Watertown-Fort Atkinson, WI",48020,2/08/2022,48.0,Good,,55-055-0009,1
"Morristown, TN",34100,17/05/2022,61.0,Moderate,Ozone,47-089-0002,1
"Ponce, PR",38660,30/06/2022,54.0,Moderate,PM10,72-113-0004,1
"Wilmington, NC",48900,17/07/2022,23.0,Good,Ozone,37-129-0002,1
"Albuquerque, NM",10740,22/08/2022,49.0,Good,Ozone,35-061-0008,2
"Columbus, GA-AL",17980,6/04/2022,33.0,Good,,13-215-0008,2
"Middlesborough, KY",33180,3/01/2022,19.0,Good,PM2.5,21-013-0002,1
"Whitewater-Elkhorn, WI",48580,3/05/2022,32.0,Good,Ozone,55-127-0006,1
"Elkhart-Goshen, IN",21140,31/07/2022,44.0,Good,Ozone,18-039-0007,2
"Morgantown, WV",34060,23/06/2022,45.0,Good,Ozone,54-061-0003,1
"Fond du Lac, WI",22540,29/09/2022,28.0,Good,Ozone,55-039-0006,1
"Mount Vernon, OH",34540,30/03/2022,48.0,Good,Ozone,39-083-0003,1
"Farmington, NM",22140,29/08/2022,71.0,Moderate,Ozone,35-045-0018,4
"Lewiston, ID-WA",30300,19/02/2022,44.0,Good,PM2.5,53-003-0004,3
"Beatrice, NE",13100,27/05/2022,20.0,Good,PM2.5,31-067-0005,1
"Lancaster, PA",29540,1/01/2022,48.0,Good,PM2.5,42-071-0012,2
"Pahrump, NV",37220,1/01/2022,12.0,Good,PM10,32-023-0014,4
"Dodge City, KS",19980,18/03/2022,5.0,Good,PM10,20-057-0002,1
"Knoxville, TN",28940,18/01/2022,51.0,Moderate,PM2.5,47-093-1017,7
"Salinas, CA",41500,10/02/2022,40.0,Good,Ozone,06-053-1003,3
"New Orleans-Metairie, LA",35380,1/10/2022,3.0,Good,,22-071-0021,1
"Wenatchee, WA",48300,20/02/2022,14.0,Good,PM2.5,53-007-0010,3
"Kahului-Wailuku-Lahaina, HI",27980,25/01/2022,15.0,Good,PM2.5,15-009-0025,2
"Charlotte-Concord-Gastonia, NC-SC",16740,1/03/2022,47.0,Good,Ozone,37-109-0004,9
"Greeley, CO",24540,9/05/2022,51.0,Moderate,Ozone,08-123-0013,3
"Klamath Falls, OR",28900,21/03/2022,27.0,Good,PM2.5,41-035-0004,1
"Scranton--Wilkes-Barre--Hazleton, PA",42540,10/09/2022,27.0,Good,NO2,42-069-2006,1
"Riverton, WY",40180,10/06/2022,36.0,Good,Ozone,56-013-0099,3
"Dalton, GA",19140,28/04/2022,105.0,Unhealthy for Sensitive Groups,Ozone,13-213-0003,1
"Janesville-Beloit, WI",27500,18/07/2022,40.0,Good,Ozone,55-105-0030,1
"Houma-Thibodaux, LA",26380,7/07/2022,,Good,Ozone,22-057-0004,1
"Vineyard Haven, MA",47240,15/06/2022,35.0,Good,Ozone,25-007-0001,1
"Sayre, PA",42380,1/07/2022,40.0,Good,PM2.5,42-015-0011,1
"Marietta, OH",31930,9/08/2022,34.0,Good,Ozone,39-167-0004,1
"Hanford-Corcoran, CA",25260,2/01/2022,72.0,Moderate,PM2.5,06-031-1004,3
"Lawton, OK",30020,1/09/2022,32.0,Good,Ozone,40-031-0651,1
"Albuquerque, NM",10740,5/08/2022,77.0,Moderate,Ozone,35-043-1001,2
"Arkadelphia, AR",11660,13/07/2022,44.0,Good,Ozone,05-019-9991,1
"Fort Collins, CO",22660,30/03/2022,51.0,Moderate,Ozone,08-069-0007,4
"Whitewater-Elkhorn, WI",48580,21/08/2022,42.0,Good,Ozone,55-127-0006,1
"Red Bluff, CA",39780,3/02/2022,36.0,Good,Ozone,06-103-0007,1
"Jackson, WY-ID",27220,18/07/2022,50.0,Good,Ozone,56-039-1011,4
"Toledo, OH",45780,14/07/2022,50.0,Good,Ozone,39-095-0024,4
"Helena, MT",25740,2/01/2022,51.0,Moderate,,30-049-0026,2
"Ocala, FL",36100,18/06/2022,38.0,Good,Ozone,12-083-0003,2
"Little Rock-North Little Rock-Conway, AR",30780,11/08/2022,38.0,Good,PM2.5,05-119-0007,1
"Lima, OH",30620,14/09/2022,25.0,Good,PM2.5,39-003-0009,1
"Sayre, PA",42380,15/06/2022,47.0,Good,Ozone,42-015-0011,1
"Atlanta-Sandy Springs-Roswell, GA",12060,21/09/2022,150.0,Unhealthy for Sensitive Groups,,13-121-0055,7
"Raleigh, NC",39580,22/06/2022,140.0,Unhealthy for Sensitive Groups,Ozone,37-101-0002,3
"Prescott, AZ",39140,7/04/2022,41.0,Good,Ozone,04-025-8034,1
"Yakima, WA",49420,3/04/2022,23.0,Good,PM2.5,53-077-0005,3
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,3/03/2022,43.0,Good,Ozone,24-033-0030,19
"Gardnerville Ranchos, NV",23820,16/04/2022,4.0,Good,PM2.5,32-005-0007,1
"Asheville, NC",11700,23/04/2022,49.0,Good,Ozone,37-087-0036,5
"Vincennes, IN",47180,16/05/2022,51.0,Moderate,Ozone,18-083-9991,1
"Kingsville, TX",28780,7/04/2022,31.0,Good,PM2.5,48-273-0314,1
"Grand Rapids-Wyoming, MI",24340,13/03/2022,38.0,Good,Ozone,26-081-0022,3
"Burlington-South Burlington, VT",15540,13/02/2022,37.0,Good,Ozone,50-007-0007,2
"Walla Walla, WA",47460,30/08/2022,43.0,Good,Ozone,53-013-9991,1
"Walla Walla, WA",47460,3/03/2022,33.0,Good,Ozone,53-013-9991,4
"Texarkana, TX-AR",45500,5/07/2022,54.0,Moderate,PM2.5,48-037-1031,1
"Utica-Rome, NY",46540,18/08/2022,14.0,Good,PM2.5,36-065-2001,1
"Manitowoc, WI",31820,17/07/2022,48.0,Good,Ozone,55-071-0007,1
"Brunswick, GA",15260,15/01/2022,91.0,Moderate,PM2.5,13-127-0006,1
"Wichita, KS",48620,13/02/2022,34.0,Good,Ozone,20-191-0002,3
"Akron, OH",10420,3/06/2022,74.0,Moderate,Ozone,39-133-1001,3
"Stockton-Lodi, CA",44700,4/04/2022,34.0,Good,Ozone,06-077-1003,2
"Truckee-Grass Valley, CA",46020,21/03/2022,40.0,Good,Ozone,06-057-0005,2
"Vermillion, SD",46820,27/01/2022,32.0,Good,Ozone,46-027-0001,1
"Rapid City, SD",39660,30/06/2022,89.0,Moderate,PM10,46-103-0020,3
"Minot, ND",33500,1/06/2022,38.0,Good,Ozone,38-101-0003,1
"College Station-Bryan, TX",17780,2/03/2022,43.0,Good,PM2.5,48-041-1086,1
"Michigan City-La Porte, IN",33140,23/03/2022,31.0,Good,Ozone,18-091-0005,2
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,10/07/2022,41.0,Good,Ozone,47-037-0011,4
"Parkersburg-Vienna, WV",37620,4/03/2022,32.0,Good,Ozone,54-107-1002,1
"Harrisonburg, VA",25500,31/05/2022,43.0,Good,Ozone,51-165-0003,1
"Tucson, AZ",46060,26/01/2022,,Good,Ozone,04-019-0021,15
"The Dalles, OR",45520,30/01/2022,23.0,Good,PM2.5,41-065-0007,1
"Aberdeen, WA",10140,9/05/2022,10.0,Good,PM2.5,53-027-2002,1
"San Antonio-New Braunfels, TX",41700,30/03/2022,46.0,Good,Ozone,48-029-0052,8
"Gulfport-Biloxi-Pascagoula, MS",25060,21/02/2022,35.0,Good,PM2.5,28-047-0008,3
"Sacramento--Roseville--Arden-Arcade, CA",40900,28/07/2022,100.0,Moderate,Ozone,06-061-0003,8
"Cookeville, TN",18260,3/04/2022,18.0,Good,PM2.5,47-141-0005,1
"Washington Court House, OH",47920,8/04/2022,30.0,Good,Ozone,39-047-9991,1
"Sevierville, TN",42940,20/06/2022,58.0,Moderate,Ozone,47-155-0102,2
"McAllen-Edinburg-Mission, TX",32580,7/05/2022,81.0,Moderate,PM2.5,48-215-0043,1
"Santa Fe, NM",42140,1/03/2022,49.0,Good,Ozone,35-049-0021,1
"Roseburg, OR",40700,18/01/2022,52.0,Moderate,PM2.5,41-019-0002,1
"Lansing-East Lansing, MI",29620,3/06/2022,71.0,Moderate,Ozone,26-037-0002,2
"Hattiesburg, MS",25620,16/04/2022,26.0,Good,PM2.5,28-035-0004,1
"Dayton, OH",19380,4/02/2022,34.0,Good,Ozone,39-135-1001,2
"Modesto, CA",33700,6/05/2022,57.0,Moderate,PM2.5,06-099-0005,1
"Fargo, ND-MN",22020,24/03/2022,35.0,Good,Ozone,38-017-1004,1
"Fayetteville-Springdale-Rogers, AR-MO",22220,16/05/2022,44.0,Good,Ozone,05-143-0006,2
"Champaign-Urbana, IL",16580,17/05/2022,58.0,Moderate,Ozone,17-019-1001,3
"Denver-Aurora-Lakewood, CO",19740,27/05/2022,45.0,Good,Ozone,08-019-0006,15
"Mobile, AL",33660,24/01/2022,51.0,Moderate,PM2.5,01-097-0003,1
"El Centro, CA",20940,16/01/2022,40.0,Good,PM2.5,06-025-0005,6
"Santa Maria-Santa Barbara, CA",42200,18/06/2022,35.0,Good,Ozone,06-083-1014,7
"Payson, AZ",37740,31/08/2022,54.0,Moderate,Ozone,04-007-0010,3
"Greenville-Anderson-Mauldin, SC",24860,12/01/2022,58.0,Moderate,PM2.5,45-045-0015,2
"Pittsburgh, PA",38300,26/05/2022,40.0,Good,PM2.5,42-003-0064,19
"Juneau, AK",27940,4/05/2022,5.0,Good,PM2.5,02-110-0004,1
"State College, PA",44300,17/02/2022,37.0,Good,Ozone,42-027-9991,2
"Elizabethtown-Fort Knox, KY",21060,3/01/2022,26.0,Good,PM2.5,21-093-0006,1
"New Orleans-Metairie, LA",35380,27/08/2022,34.0,Good,Ozone,22-103-0002,8
"Pocatello, ID",38540,24/06/2022,46.0,Good,Ozone,16-005-0015,2
"Savannah, GA",42340,27/03/2022,44.0,Good,Ozone,13-051-0021,2
"Beaver Dam, WI",13180,24/05/2022,41.0,Good,,55-027-0001,1
"Marietta, OH",31930,1/05/2022,42.0,Good,Ozone,39-167-0004,1
"Lafayette-West Lafayette, IN",29200,15/03/2022,43.0,Good,PM2.5,18-157-0008,2
"Albany-Schenectady-Troy, NY",10580,7/02/2022,40.0,Good,PM2.5,36-001-0012,2
"Texarkana, TX-AR",45500,29/06/2022,50.0,Good,,48-037-1031,1
"Fallon, NV",21980,28/05/2022,50.0,Good,Ozone,32-001-0002,1
"Provo-Orem, UT",39340,15/02/2022,35.0,Good,Ozone,49-049-4001,2
"San Antonio-New Braunfels, TX",41700,8/07/2022,45.0,Good,Ozone,48-029-0052,5
"Pueblo, CO",39380,21/04/2022,40.0,Good,PM10,08-101-0015,1
"Williamsport, PA",48700,28/05/2022,31.0,Good,Ozone,42-081-0100,2
"Oxford, NC",37080,2/05/2022,41.0,Good,Ozone,37-077-0001,1
"El Centro, CA",20940,2/03/2022,45.0,Good,NO2,06-025-0005,6
"Fort Collins, CO",22660,26/07/2022,84.0,Moderate,Ozone,08-069-0011,4
"Dayton, OH",19380,27/01/2022,48.0,Good,PM2.5,39-113-0038,2
"Augusta-Richmond County, GA-SC",12260,27/03/2022,46.0,Good,Ozone,45-003-0003,4
"Marshall, TX",32220,19/06/2022,47.0,Good,Ozone,48-203-0002,1
"Kingsville, TX",28780,13/07/2022,42.0,Good,PM2.5,48-273-0314,1
"San Francisco-Oakland-Hayward, CA",41860,17/04/2022,44.0,Good,Ozone,06-013-1002,13
"Jacksonville, FL",27260,31/03/2022,51.0,Moderate,PM2.5,12-031-0077,7
"Weirton-Steubenville, WV-OH",48260,25/07/2022,44.0,Good,PM2.5,39-081-0017,4
"Prineville, OR",39260,10/04/2022,5.0,Good,PM2.5,41-013-0100,1
"Logan, UT-ID",30860,16/03/2022,39.0,Good,Ozone,49-005-0007,2
"Tuscaloosa, AL",46220,18/03/2022,35.0,Good,Ozone,01-125-0011,2
"Raleigh, NC",39580,29/06/2022,45.0,Good,Ozone,37-183-0014,3
"Mount Vernon, OH",34540,31/03/2022,44.0,Good,Ozone,39-083-0003,1
"Gainesville, FL",23540,19/06/2022,37.0,Good,Ozone,12-001-3012,1
"San Diego-Carlsbad, CA",41740,29/07/2022,33.0,Good,PM2.5,06-073-0077,1
"Anchorage, AK",11260,26/05/2022,19.0,Good,PM10,02-020-0045,4
"Texarkana, TX-AR",45500,21/04/2022,54.0,Moderate,PM2.5,48-037-1031,1
"Rapid City, SD",39660,29/05/2022,52.0,Moderate,PM10,46-103-0020,3
"Americus, GA",11140,5/07/2022,32.0,Good,Ozone,13-261-1001,1
"Odessa, TX",36220,12/06/2022,28.0,Good,PM2.5,48-135-1014,1
"Espa¤ola, NM",21580,10/05/2022,46.0,Good,Ozone,35-039-0026,1
"Ponca City, OK",38620,12/04/2022,55.0,Moderate,PM2.5,40-071-0604,1
"Florence, SC",22500,6/04/2022,31.0,Good,Ozone,45-031-0003,2
"Erie, PA",21500,23/07/2022,32.0,Good,PM2.5,42-049-0003,1
"Charleston-North Charleston, SC",16700,27/03/2022,48.0,Good,Ozone,45-015-1002,6
"Amarillo, TX",11100,20/04/2022,48.0,Good,Ozone,48-381-9991,2
"Harrisonburg, VA",25500,13/02/2022,40.0,Good,,51-165-0003,1
"St. Louis, MO-IL",41180,11/07/2022,129.0,Unhealthy for Sensitive Groups,Ozone,17-119-0120,8
"Owensboro, KY",36980,12/01/2022,26.0,Good,NO2,21-059-0005,1
"New York-Newark-Jersey City, NY-NJ-PA",35620,9/03/2022,47.0,Good,NO2,34-039-0004,42
